app_name,categoryId,reviewId,sentenceId,at,score,feature,review,sentence,QM-emotion-A,QM-emotion-B,QM-comments,MO-emotion-A,MO-emotion-B,MO-comments,XF-emotion-A,XF-emotion-B,XF-comments,emotion-A-agreement,emotion-B-agreement
ColorNote Notepad Notes,PRODUCTIVITY,0d5f15da-f4d9-4526-a5b6-62c1945b3c74,0,"Jul 14, 2022",5,f_257,"Easy to use, negligible ads, syncs across devices, highly recommend.","Easy to use, negligible ads, syncs across devices, highly recommend.",Joy,,,Trust,,,Joy,,,Joy,
Habit Hunter: RPG goal tracker,PRODUCTIVITY,0d699368-d8fe-4deb-949d-d2096e9304bd,1,"Jul 29, 2022",3,f_99,"I don't like that you're penalized for being late on goals. Free to play but you need to pay to remove ads, have more than three milestones per goal, and unlock the full map","Free to play but you need to pay to remove ads, have more than three milestones per goal, and unlock the full map",Neutral,,This is actually neutral. Purely descriptive,Sadness,,,Sadness,,,Sadness,
Clock,TOOLS,0d7281cf-e208-4879-a4c2-de5410e749ad,0,"Aug 11, 2022",1,f_237,"Until last month I had no problems with the app but nowadays when I open battery saver mode my alarms give this warning: ""Battery saver might degrade your alarm and timer experience"", instead of ringing. I missed my classes and many important things because of that. Until it fixed I will use other apps and disable this one, good job.","Until last month I had no problems with the app but nowadays when I open battery saver mode my alarms give this warning: ""Battery saver might degrade your alarm and timer experience"", instead of ringing.",Surprise,Sadness,,Surprise,Sadness,,Sadness,,,Sadness,Surprise
"Strava: Run, Ride, Hike",HEALTH_AND_FITNESS,0dd5d101-76fa-4aaf-9f31-00f3944391a0,0,"Sep 02, 2022",3,f_239,Social networking aspects are nice but app fails to maintain tracking signal quite often losing signal during runs and rides. Have reloaded several times,Social networking aspects are nice but app fails to maintain tracking signal quite often losing signal during runs and rides.,Joy,Sadness,,Sadness,,,Sadness,Joy,again two mixed feelings but bad seems main goal,Sadness,Joy
Weather Radar Widget,WEATHER,0de6e3ba-1253-42fd-98db-f71438bdf40e,1,"Dec 27, 2021",2,f_398,"Have app set to pick up tablet location. Displays correct location scrolling across screen, but map ALWAYS shows tablet location 35-50 miles away rendering app virtually useless. Have checked all settings - still no avail","Displays correct location scrolling across screen, but map ALWAYS shows tablet location 35-50 miles away rendering app virtually useless.",Joy,Disgust,"explicit reject towards a feature (i.e., useless)",Disgust,,,Sadness,,,Disgust,
Half Marathon Training Coach,HEALTH_AND_FITNESS,0e8127d8-4f3b-45c1-a21f-4c311f5d186b,1,"Aug 23, 2021",2,f_164,Intermittent. This app kinda works in that it times my runs but gps stops halfway or it shows on the map but says I've done .75km of a +10k. And yes all access to gps has been set it worked for 2 weeks then reverted. Also have paid for pro version but every few weeks it resets and only gives me the first bit of free weeks. Not very impressed but great when it works!,This app kinda works in that it times my runs but gps stops halfway or it shows on the map but says I've done .75km of a +10k.,Sadness,,,Sadness,,,Sadness,,,Sadness,
Post-it®,PRODUCTIVITY,0ea8e30c-e727-4cce-99e2-1ea148843e55,13,"Mar 20, 2022",3,f_257,"It general, it's a nice app to mess with -- but the more I use it, the more I find it too clumsy to tackle my needs. For example, if you back out of a note, you should get a warning that your scribble is going to be lost...(uggh). I got lucky and somehow was able to pinch and zoom in -- but I have not been able to replicate something so simple. Clearly it's there -- somewhere, but not where would expect it to be consistently (e.g., everywhere would be nice for larger screen users like me). While you can re-size the note background, and scale the content to size -- you cannot move the block of content to make resizing the note more functional. Nor change the pen inking width (that I could find). Moving notes about -- it is very crude feeling for more serious matters. I have yet to find any 'gestures' to rotate notes, but I did find the 90-degree flip... (not like in the demo with slight rotations). I like the idea of the widget on my Fold3, but I find the integration to the main app to be just to awkward to use. It has plenty of potential -- any maybe buried or hidden functionality waiting for a spelunker. I am also sure it's great in select scenarios/use-cases. Overall, it is cute, but awkward. It stumbles as I tried to use it more... Also, some type of sync across devices would be helpful. The plumbing is already in, so provide an option to move the data to a cloud store (many to choose from) to support multiple devices. All in all, some cool stuff, light feel; but misses in a lot of places. I look forward to seeing where it goes a few iterations down the road.","Also, some type of sync across devices would be helpful.",Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
Steam Chat,COMMUNICATION,0ecf2505-bbc1-4e60-8734-682d86c9c75a,1,"Jun 17, 2021",1,f_62,"sometimes when sending a message it straight up crashes, this app is a joke and should be merged with the other steam app I see no reason not too! Also to make this better add Voice Chat please!!!",Also to make this better add Voice Chat please!!!,Anticipation,Anger,,Anticipation,,,Anticipation,,,Anticipation,
ViewRanger,HEALTH_AND_FITNESS,0f18213a-2d64-4e10-96f3-8fb32410894a,1,"Jan 30, 2022",5,f_241,"Great app that works exactly as it should and with OS maps in the UK it really was so useful and NEVER crashed and NEVER let me down. And now the truly absurd bit - somebody called Outdoor Active bought VR and cancelled all our subscriptions. So now they get no money & we get no OS maps. I'm deeply saddened by the stupidy of this & the bizarre notion that we'll start paying Outdoor Active instead for their cr-App. Outdoor Active, please sell VR to somebody else rather than buying and binning it.",And now the truly absurd bit - somebody called Outdoor Active bought VR and cancelled all our subscriptions.,Surprise,Anger,,Surprise,Sadness,,Anger,,,Anger,Surprise
Notepad – Notes and Checklists,TOOLS,0f4eb7b5-8c5e-40e6-a093-3cb3dc9b813f,0,"Sep 08, 2022",1,f_247,How many permissions does a checklist making app need?! Lost a customer because of the run around. You DO NOT need my location. *edit in response to developers: I should be able to use the app without allowing the location permission. You can't change my mind here. *another response to editors: I tried repeatedly after downloading to refuse the location permission. All it did was turn me around to the pervious screen. Don't lie to me.,How many permissions does a checklist making app need?!,Anger,,,Anger,,(Anger per les exclamacions),Disgust,,,Anger,
Instagram,SOCIAL,0f77e723-1b32-4295-9f04-5d312745bd93,0,"Sep 15, 2022",2,f_331,management pls fix the prob of logging and hanging in I.g 😠😠😠,management pls fix the prob of logging and hanging in I.g 😠😠😠,Anticipation,Anger,,Anger,,,Anger,,,Anger,
BlackNote Notepad Notes,PRODUCTIVITY,0fcb8af3-45e1-4151-98b2-64f97a03912c,0,"Feb 13, 2022",5,f_40,Solid notetaking app,Solid notetaking app,Joy,,,Joy,,,Joy,,,Joy,
aCalendar - your calendar,PRODUCTIVITY,102f5bcf-b476-49c1-a757-73cde865c7b6,3,"Jun 03, 2022",1,f_432,"You pay to have ads removed, you pay to get colors which I did--the wording suggested I would get many colors but instead I only got about six. 💰 Grab. I uninstalled it and got ""Cute Calendar : Daily Planner"". My Cute Calendar's theme is cats, but there are numerous other things to choose from plus a place for To Do, Diary, Event reminders, background changes, photos & more. Satisfies the kid in me who needs all that it offers and it contains a lot, no hidden fees, cost options spelled out.","My Cute Calendar's theme is cats, but there are numerous other things to choose from plus a place for To Do, Diary, Event reminders, background changes, photos & more.",Neutral,,I would also agree in Joy,Trust,,,Sadness,,,,
Month: Calendar Widget,PRODUCTIVITY,109b4518-17ff-47b4-9ccc-6aa0ee4a50ee,0,"Mar 30, 2022",4,f_109,This app is excellent but the calendar syncing isn't perfect,This app is excellent but the calendar syncing isn't perfect,Joy,Sadness,,Joy,Sadness,,Joy,Sadness,Mix of two feelings,Joy,Sadness
Messages,COMMUNICATION,10ac6496-6ece-41db-85a8-73395d74c859,1,"Sep 15, 2022",1,f_174,"Just got a new s22 and have to use google messengers and so far the experience is horrible. Chat features will NOT stay connected which means i recieve no text. When i restart my phone or stop the app and clear the cache it will come on for about a minute and then go back to infinite ""connecting"". Pretty sad ""feature"" for the main messanging app on an OS made by a trillion-dollar company",Chat features will NOT stay connected which means i recieve no text.,Sadness,Anger,,Anger,,(les majuscules del NOT),Sadness,,,Anger,Sadness
Clock,TOOLS,1129b4b1-8d74-4493-92bb-e71ce821ea7f,1,"Jul 30, 2022",2,f_236,sketchy it got only digital widget. where the analog clock widget?,where the analog clock widget?,Anticipation,,,Surprise,,,Sadness,,,,
Messenger,COMMUNICATION,119292d8-669a-4f0e-82d2-b03b28fd7b48,0,"Sep 15, 2022",1,f_128,Please fixed the video chat because the echo is to loude please fixed it,Please fixed the video chat because the echo is to loude please fixed it,Anticipation,Sadness,,Anticipation,Sadness,,Sadness,Disgust,it can be argued that repetition entails disgust,Sadness,Anticipation
Productivity Challenge Timer,PRODUCTIVITY,11a15914-2109-4a61-8725-d07e782775d1,0,"Apr 25, 2022",5,f_36,Really great app recomended by hum jeetenge YouTube channel,Really great app recomended by hum jeetenge YouTube channel,Joy,,,Joy,,,Joy,Trust,not sure if the comment is enough to consider it Trust,Joy,
To Do List,PRODUCTIVITY,11cb403b-e84c-4ab7-a6c8-d9dfd19402d7,1,"Aug 14, 2022",5,f_233,Splendid app.. But can you guys please add a feature where we can customize the color and transparency of the widget?,But can you guys please add a feature where we can customize the color and transparency of the widget?,Anticipation,,,Anticipation,,,Disgust,,the tone leads to Disgust,Anticipation,
WhatsApp Messenger,COMMUNICATION,11da7e1d-b1a4-438b-acf8-8cc7fd538187,1,"Sep 13, 2022",2,f_60,"I have some problem about notifications. It's come, s hide notifications why is this such as. To me. I find this problem today. Only","It's come, s hide notifications why is this such as.",Reject,,I don't understand this sentence,Reject,,,Disgust,Reject,"English is difficult to understand, but the tone is (highly) negative",Reject,
Todoist: to-do list & planner,PRODUCTIVITY,122958c0-7805-4f1f-bc9e-525f3c13c19a,0,"May 14, 2022",5,f_175,Very intuitive UI and nice for the project management!!! Recommend! ++,Very intuitive UI and nice for the project management!!!,Joy,,,Joy,,,Joy,,,Joy,
Event Alarm Reminder for Googl,TOOLS,1289b18a-953e-4141-9be7-143891b6f42f,0,"Jul 01, 2022",4,f_121,It provides details I need for meeting reminders. Still learning to navigate some of the setups.,It provides details I need for meeting reminders.,Trust,,,Trust,,,Joy,,,Trust,
Stopwatch Timer,TOOLS,12b3e914-d167-4763-8989-773649e44c78,2,"Aug 03, 2022",4,f_63,"[EDIT] Sorry again for still not giving full 5★ rating due to the very annoying APP Rating dialog box that still always popped out on the APP Exit even though I had purchased it and had given review + rating here, both almost a year ago. [/EDIT] •• Cool Timer & StopWatch APP that is accurately, uniquely, and aesthetically designed with eye-soothing colorful themes for personalization. • Thank You","[/EDIT] •• Cool Timer & StopWatch APP that is accurately, uniquely, and aesthetically designed with eye-soothing colorful themes for personalization.",Joy,,,Joy,,,Joy,,,Joy,
Messenger,COMMUNICATION,136748d6-621c-4ac3-ae62-007ae15f9d22,2,"Sep 15, 2022",1,f_130,"I keep getting banned from sending messages in group chats, I have friends I want to talk to, I didn't even spam or send anything inappropriate. It's been 3 times, the AI is so damn stupid. I got banned for a day before and I didn't spam anything, but while my friends spammed messages, it was okay. This has been a very annnoying issue, on the part of being a big platform, please fix this terrible bug.","I got banned for a day before and I didn't spam anything, but while my friends spammed messages, it was okay.",Surprise,Sadness,,Surprise,,,Anger,,,Surprise,
"OurHome – chores, rewards, gro",LIFESTYLE,138a3247-8195-4bfa-826c-6410ffb31dac,3,"Jan 17, 2022",3,f_382,"It's almost exactly what we are looking for, but there are a few features missing that we'd happily pay for: 1. Ability to set end date (or end after XX number of occurrences) for repeating tasks. 2. Agenda view. I need to be able to scroll through my week at a glance. Right now I have to go back and forth to the calendar and click through to each day separately. 3. Ability to set ""Today"" as default view. 4. Multi day events (not repeating) 5. Google calendar integration.",Right now I have to go back and forth to the calendar and click through to each day separately.,Neutral,,I mean I get this is a disappointment but not from the sentence purely,Surprise,,,Sadness,,,,
Boosted Time Tracker,PRODUCTIVITY,138c7ce8-b4a3-4419-a63c-8d0db1bf30f3,1,"Nov 03, 2021",4,f_64,"Really enjoy this app. My only issue with it is that the timers are in their own place. Would be nice to have the option to choose which timing feature I'd like to use within each task at the time of execution. Other than that, find the app very helpful.",My only issue with it is that the timers are in their own place.,Sadness,,Here they say it's an issue - so it's a disappointment,Sadness,,,Sadness,Joy,"""Only issue"" kind of expresses joy implicitly",Sadness,
Geo Tracker - GPS tracker,TRAVEL_AND_LOCAL,13c8f261-af81-4abe-8436-d7c31a9ced95,1,"Jul 04, 2022",5,f_106,"This fits my needs perfectly. Good work done, please I suggest you add online and login so we can track sales workers.","Good work done, please I suggest you add online and login so we can track sales workers.",Joy,Anticipation,,Trust,Anticipation,,Joy,Anticipation,,Anticipation,Joy
"Strava: Run, Ride, Hike",HEALTH_AND_FITNESS,13e600e4-b128-4a7f-93f1-d8561dfd0d77,0,"Aug 13, 2022",5,f_220,I enjoy meeting new people in my area and comparing and creating routes.,I enjoy meeting new people in my area and comparing and creating routes.,Trust,,,Trust,,,Trust,,,Trust,
Samsung Notes,PRODUCTIVITY,140086b2-9757-4c1d-906b-c745ca1d2533,0,"Sep 15, 2022",4,f_156,Samusung Notes App is Awesome only one problem found is Multitasking Not Possible Only one File can open at a time I want to read two Files at a time,Samusung Notes App is Awesome only one problem found is Multitasking Not Possible Only one File can open at a time I want to read two Files at a time,Joy,Sadness,,Joy,Anticipation,,Joy,Sadness,Positive and negative feelings mixed,Joy,Sadness
Loop Habit Tracker,PRODUCTIVITY,143b605e-fe4d-48b4-8527-217217f22f72,0,"Feb 01, 2022",4,f_7,"This is one of the best free habit tracker app out there, with easy analysis,minmal user interface and one can add as many habits as one may want to but the only problem with that ""it doesn't provide data sync and backup"". If that could be added, no better app than this","This is one of the best free habit tracker app out there, with easy analysis,minmal user interface and one can add as many habits as one may want to but the only problem with that ""it doesn't provide data sync and backup"".",Joy,Sadness,,Trust,Anticipation,,Joy,Anticipation,Again two feelings (positive dominant),Anticipation,Joy
True Phone Dialer & Contacts,COMMUNICATION,14986a0e-7b07-48a6-99e0-f5966ae04062,1,"Apr 09, 2022",5,f_51,All the features were working well.... But something missed....Volte Video Calling.... Can you fix it in the next update,But something missed....Volte Video Calling....,Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
Macros - Calorie Counter,HEALTH_AND_FITNESS,14a949b1-7c0a-455f-a5ae-86383d92a212,4,"Apr 26, 2022",5,f_439,"Just starting a keto lifestyle. Honestly I tried 10+ apps before this. Though I admit it can be a little tough to get the hang of it. Once you do its amazing. The barcode scanner is a godsend and 80% of the items it finds saving me tons of time. I can group items as recipes so I don't need to add every item each day, for something like bulletproof coffee. Ads are very minimal and don't hinder functionality. I will likely pay for premium just to support the devs. Thank you for an amazing app!",The barcode scanner is a godsend and 80% of the items it finds saving me tons of time.,Trust,,,Trust,,,Joy,,,Trust,
Transit: Bus & Subway Times,MAPS_AND_NAVIGATION,14ac6c41-f42c-4484-b901-57f369d0ec11,0,"Sep 14, 2022",5,f_414,"Accurate, simple to understand user interface and aesthetically pleasing as well with a modern and clean design.","Accurate, simple to understand user interface and aesthetically pleasing as well with a modern and clean design.",Joy,,,Joy,,,Joy,,,Joy,
Samsung Notes,PRODUCTIVITY,158160a7-c426-4074-9d52-a546d02c70fd,0,"Aug 19, 2022",5,f_399,just need some cloud storage for backup,just need some cloud storage for backup,Anticipation,,,Anticipation,,,Sadness,Joy,"""just need"" implicitly denotes joy",Anticipation,
